year,month,country,model,segment,engine_type,price_usd,marketing_spend_usd,dealership_count,fuel_price_usd,gdp_growth_percent,interest_rate_percent,competition_index,units_sold
2019,4,Germany,i7,Sedan,Electric,74895,421380,68,0.97,6.29,1.2,10,547
2017,12,Germany,X5,Electric,Diesel,38720,107836,99,0.97,6.29,1.2,6,349
2024,9,India,X5,Sedan,Petrol,54267,319579,380,0.97,6.29,1.2,10,1149
2018,11,Australia,X1,Sedan,Petrol,50696,305095,340,0.97,6.29,1.2,7,898
2023,5,Australia,X1,SUV,Hybrid,64968,382745,203,0.97,6.29,1.2,10,522
2024,5,Japan,X3,SUV,Electric,88364,311176,132,0.97,6.29,1.2,3,411
2023,12,France,7 Series,Electric,Hybrid,58345,433015,145,0.97,6.29,1.2,8,334
2016,5,Brazil,3 Series,Sedan,Electric,86567,299717,148,0.97,6.29,1.2,3,463
2022,1,China,3 Series,Electric,Electric,96607,184479,238,0.97,6.29,1.2,1,579
2022,1,USA,X7,SUV,Hybrid,54385,411087,283,0.97,6.29,1.2,10,881
2021,8,Australia,3 Series,Electric,Diesel,118658,82940,59,0.97,6.29,1.2,5,496
2022,12,Japan,3 Series,SUV,Hybrid,101900,55666,127,0.97,6.29,1.2,2,450
2017,8,Japan,7 Series,Electric,Hybrid,103244,349266,211,0.97,6.29,1.2,10,821
2020,12,India,iX,Electric,Petrol,100425,430791,200,0.97,6.29,1.2,6,827
2015,6,China,X1,Sedan,Petrol,113518,206164,373,0.97,6.29,1.2,10,1156
2021,12,Canada,X1,Electric,Hybrid,117844,441897,332,0.97,6.29,1.2,9,738
2015,11,Brazil,5 Series,Sedan,Hybrid,67919,435546,190,0.97,6.29,1.2,1,600
2023,4,France,3 Series,Sedan,Petrol,92196,256717,87,0.97,6.29,1.2,4,566
2015,2,UK,7 Series,Sedan,Electric,114401,413334,84,0.97,6.29,1.2,1,268
2015,2,India,X1,Sedan,Hybrid,35495,412612,304,0.97,6.29,1.2,1,973
2021,9,Brazil,7 Series,Electric,Diesel,79755,441351,290,0.97,6.29,1.2,8,602
2016,5,UK,i4,SUV,Diesel,102684,76505,30,0.97,6.29,1.2,2,336
2019,4,UK,iX,SUV,Diesel,68324,86713,180,0.97,6.29,1.2,1,636
2022,10,China,3 Series,SUV,Hybrid,113929,497603,24,0.97,6.29,1.2,8,324
2022,1,China,5 Series,Electric,Electric,36552,355313,220,0.97,6.29,1.2,4,724
2017,7,USA,X7,Sedan,Electric,86272,254354,57,0.97,6.29,1.2,3,150
2021,3,Japan,X1,SUV,Petrol,70853,127511,95,0.97,6.29,1.2,4,429
2017,6,Brazil,i4,Electric,Hybrid,67924,494958,158,0.97,6.29,1.2,5,576
2020,5,India,7 Series,Sedan,Electric,109462,352666,197,0.97,6.29,1.2,1,744
2020,5,Germany,X5,SUV,Hybrid,58889,262204,381,0.97,6.29,1.2,1,819
2017,11,India,i7,Sedan,Petrol,89675,300694,315,0.97,6.29,1.2,3,1029
2021,5,USA,3 Series,SUV,Petrol,108591,299836,160,0.97,6.29,1.2,6,403
2017,1,France,3 Series,SUV,Petrol,105190,284561,150,0.97,6.29,1.2,1,515
2022,1,Japan,i4,SUV,Diesel,57634,411541,78,0.97,6.29,1.2,2,557
2024,3,Germany,7 Series,Sedan,Hybrid,67363,53880,269,0.97,6.29,1.2,7,607
2018,12,Australia,X3,Electric,Petrol,98752,486670,343,0.97,6.29,1.2,1,1116
2015,10,France,3 Series,Sedan,Hybrid,112004,498927,18,0.97,6.29,1.2,7,130
2018,4,China,X3,SUV,Diesel,91398,93539,130,0.97,6.29,1.2,4,559
2021,5,UK,X5,Sedan,Diesel,75718,290056,380,0.97,6.29,1.2,10,1088
2018,2,Australia,i4,Electric,Petrol,117916,269057,110,0.97,6.29,1.2,6,360
2020,8,India,7 Series,Sedan,Petrol,61870,64799,158,0.97,6.29,1.2,8,740
2023,11,India,7 Series,Electric,Electric,72394,154843,155,0.97,6.29,1.2,9,521
2015,11,China,iX,Electric,Hybrid,87057,493942,362,0.97,6.29,1.2,6,1196
2019,2,USA,i7,Sedan,Petrol,114795,98784,252,0.97,6.29,1.2,9,724
2021,9,Brazil,X1,SUV,Electric,115409,163034,250,0.97,6.29,1.2,4,710
2015,2,Australia,X1,Electric,Hybrid,48016,486549,346,0.97,6.29,1.2,6,1156
2018,9,Australia,X7,Sedan,Petrol,77137,484044,52,0.97,6.29,1.2,8,243
2020,7,Canada,5 Series,Electric,Electric,35153,250598,104,0.97,6.29,1.2,9,630
2016,8,France,i4,SUV,Electric,42853,104362,235,0.97,6.29,1.2,3,666
2024,11,Japan,X5,Sedan,Hybrid,47379,103997,15,0.97,6.29,1.2,2,59
2019,2,France,7 Series,Sedan,Electric,50792,231413,223,0.97,6.29,1.2,6,804
2024,7,Brazil,i7,Sedan,Hybrid,73367,462289,215,0.97,6.29,1.2,4,596
2015,12,India,X3,SUV,Hybrid,53100,414543,76,0.97,6.29,1.2,1,320
2020,6,India,i4,Electric,Hybrid,98456,326693,109,0.97,6.29,1.2,8,565
2020,4,India,X7,Sedan,Diesel,46049,369064,21,0.97,6.29,1.2,9,96
2018,7,Canada,i4,Electric,Electric,35786,266398,246,0.97,6.29,1.2,9,575
2022,4,India,X7,Electric,Hybrid,104904,310464,331,0.97,6.29,1.2,2,968
2018,2,Brazil,7 Series,SUV,Petrol,65699,463532,267,0.97,6.29,1.2,9,582
2022,10,China,5 Series,Sedan,Diesel,82691,207255,346,0.97,6.29,1.2,7,1124
2022,12,Japan,X7,Electric,Diesel,72040,406004,144,0.97,6.29,1.2,5,697
2019,7,Brazil,7 Series,Sedan,Electric,92986,74624,231,0.97,6.29,1.2,7,704
2018,8,Japan,7 Series,Sedan,Hybrid,73762,243587,165,0.97,6.29,1.2,9,332
2016,2,Brazil,5 Series,SUV,Electric,58600,284784,151,0.97,6.29,1.2,8,654
2017,5,India,X1,Sedan,Diesel,54810,96705,167,0.97,6.29,1.2,6,663
2017,1,China,i4,Sedan,Hybrid,92204,139326,335,0.97,6.29,1.2,4,698
2018,7,Australia,3 Series,Electric,Petrol,55085,469972,380,0.97,6.29,1.2,1,880
2018,8,France,3 Series,SUV,Hybrid,81854,372534,353,0.97,6.29,1.2,6,887
2024,6,UK,X3,Sedan,Diesel,109797,118369,271,0.97,6.29,1.2,3,720
2019,5,China,X3,Electric,Petrol,119269,251893,292,0.97,6.29,1.2,6,910
2018,6,Australia,3 Series,SUV,Hybrid,74779,321733,347,0.97,6.29,1.2,6,726
2024,2,USA,X5,SUV,Petrol,91207,163012,353,0.97,6.29,1.2,4,821
2022,1,Brazil,3 Series,Electric,Petrol,68980,457332,238,0.97,6.29,1.2,2,710
2020,7,USA,X3,Electric,Diesel,91117,385325,385,0.97,6.29,1.2,9,1036
2020,7,Australia,i7,Electric,Petrol,49141,225858,289,0.97,6.29,1.2,2,648
2022,10,China,X3,Electric,Electric,44344,275758,367,0.97,6.29,1.2,3,783
2021,11,Brazil,X5,Electric,Diesel,50896,173711,299,0.97,6.29,1.2,10,668
2024,10,UK,i4,Sedan,Electric,64813,126425,177,0.97,6.29,1.2,1,570
2024,2,India,3 Series,Sedan,Petrol,119431,473502,56,0.97,6.29,1.2,7,433
2022,2,Brazil,5 Series,SUV,Electric,100679,65994,212,0.97,6.29,1.2,1,614
2016,1,Brazil,i7,Sedan,Hybrid,45681,161915,223,0.97,6.29,1.2,9,511
2023,10,China,7 Series,Sedan,Petrol,107903,435105,255,0.97,6.29,1.2,1,891
